Date,Open,High,Low,Close,Adj Close,Volume
2008-07-02,6.688800,6.773600,6.686100,6.756300,6.756300,0
2008-07-03,6.754600,6.756900,6.671100,6.698000,6.698000,0
2008-07-04,6.697800,6.747200,6.685600,6.709800,6.709800,0
2008-07-07,6.725000,6.750600,6.691700,6.703000,6.703000,0
2008-07-08,6.703400,6.730600,6.691400,6.716900,6.716900,0
2008-07-09,6.717700,6.786200,6.699600,6.773800,6.773800,0
2008-07-10,6.773200,6.786500,6.740400,6.764800,6.764800,0
2008-07-11,6.764800,6.770400,6.703300,6.740200,6.740200,0
2008-07-14,6.607200,6.802100,6.599400,6.799900,6.799900,0
2008-07-15,6.799500,6.824400,6.777100,6.808400,6.808400,0
2008-07-16,6.807200,6.814200,6.766800,6.800500,6.800500,0
2008-07-17,6.800400,6.822000,6.765800,6.775200,6.775200,0
2008-07-18,6.776100,6.787900,6.754700,6.769000,6.769000,0
2008-07-21,6.650100,6.809400,6.638200,6.791500,6.791500,0
2008-07-22,6.791500,6.807500,6.746100,6.766300,6.766300,0
2008-07-23,6.764600,6.775700,6.738500,6.751700,6.751700,0
2008-07-24,6.750400,6.764300,6.697500,6.705500,6.705500,0
2008-07-25,6.704200,6.721400,6.665500,6.665500,6.665500,0
2008-07-28,6.677100,6.700400,6.659400,6.681300,6.681300,0
2008-07-29,6.681600,6.687900,6.631900,6.653200,6.653200,0
2008-07-30,6.655900,6.675700,6.598100,6.652400,6.652400,0
2008-07-31,6.653900,6.679300,6.541800,6.661200,6.661200,0
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-19,null,null,null,null,null,null
2008-08-20,null,null,null,null,null,null
2008-08-21,null,null,null,null,null,null
2008-08-22,null,null,null,null,null,null
2008-08-25,null,null,null,null,null,null
2008-08-26,6.499400,6.560600,6.468200,6.526600,6.526600,0
2008-08-27,6.527800,6.543600,6.491600,6.500500,6.500500,0
2008-08-28,6.500600,6.529900,6.466000,6.471800,6.471800,0
2008-08-29,6.473100,6.515800,6.404600,6.415900,6.415900,0
2008-09-01,6.408600,6.425600,6.370500,6.387300,6.387300,0
2008-09-02,6.388300,6.396200,6.360600,6.387800,6.387800,0
2008-09-03,6.387000,6.447300,6.336500,6.436200,6.436200,0
2008-09-04,6.434100,6.468700,6.393200,6.421900,6.421900,0
2008-09-05,6.422900,6.443400,6.376300,6.418800,6.418800,0
2008-09-08,6.410800,6.462900,6.374300,6.393200,6.393200,0
2008-09-09,6.393800,6.433700,6.376900,6.387000,6.387000,0
2008-09-10,6.388500,6.410600,6.349700,6.378000,6.378000,0
2008-09-11,6.377600,6.391900,6.317800,6.332100,6.332100,0
2008-09-12,6.332400,6.440800,6.323500,6.410100,6.410100,0
2008-09-15,6.197000,6.452300,6.166700,6.358100,6.358100,0
2008-09-16,6.358900,6.406600,6.351200,6.394100,6.394100,0
2008-09-17,6.392200,6.426000,6.266000,6.289500,6.289500,0
2008-09-18,6.287600,6.458200,6.276800,6.449000,6.449000,0
2008-09-19,6.446100,6.519100,6.382600,6.468200,6.468200,0
2008-09-22,6.271600,6.577000,6.231100,6.532600,6.532600,0
2008-09-23,6.533800,6.583400,6.366500,6.576100,6.576100,0
2008-09-24,6.575800,6.590400,6.552600,6.556900,6.556900,0
2008-09-25,6.556900,6.605900,6.531500,6.588700,6.588700,0
2008-09-26,6.587600,6.621200,6.570000,6.600300,6.600300,0
2008-09-29,6.496600,6.607700,6.494700,6.517200,6.517200,0
2008-09-30,6.514000,6.539100,6.404500,6.416100,6.416100,0
2008-10-01,6.414300,6.476800,6.326900,6.444800,6.444800,0
2008-10-02,6.444100,6.475800,6.326900,6.351500,6.351500,0
2008-10-03,6.354300,6.372700,6.329200,6.341900,6.341900,0
2008-10-06,6.405200,6.411000,6.161700,6.204200,6.204200,0
2008-10-07,6.207500,6.232300,6.141600,6.179800,6.179800,0
2008-10-08,6.180100,6.191600,6.022600,6.039700,6.039700,0
2008-10-09,6.039700,6.088900,5.922200,5.954100,5.954100,0
2008-10-10,5.949300,5.953700,5.711700,5.835700,5.835700,0
2008-10-13,5.765700,5.921400,5.748400,5.908200,5.908200,0
2008-10-14,5.901900,6.017100,5.863900,5.883100,5.883100,0
2008-10-15,5.885000,5.912700,5.752300,5.771300,5.771300,0
2008-10-16,5.771000,5.818500,5.677900,5.736500,5.736500,0
2008-10-17,5.736500,5.791000,5.693800,5.787000,5.787000,0
2008-10-20,5.631300,5.800000,5.605300,5.708700,5.708700,0
2008-10-21,5.705100,5.717800,5.545200,5.648300,5.648300,0
2008-10-22,5.649600,5.687300,5.408700,5.425800,5.425800,0
2008-10-23,5.428300,5.452600,5.342400,5.428500,5.428500,0
2008-10-24,5.429600,5.469200,5.312500,5.349600,5.349600,0
2008-10-27,5.227100,5.334300,5.221000,5.290800,5.290800,0
2008-10-28,5.293300,5.329700,5.203700,5.226000,5.226000,0
2008-10-29,5.224000,5.610200,5.192300,5.541700,5.541700,0
2008-10-30,5.541700,5.716400,5.483300,5.673100,5.673100,0
2008-10-31,5.670700,5.699600,5.516900,5.663600,5.663600,0
2008-11-03,5.499300,5.839900,5.497500,5.829300,5.829300,0
2008-11-04,5.828300,5.941800,5.716200,5.926300,5.926300,0
2008-11-05,5.922700,5.934300,5.689600,5.873900,5.873900,0
2008-11-06,5.864500,5.874100,5.692500,5.714400,5.714400,0
2008-11-07,5.714800,5.812400,5.673600,5.738200,5.738200,0
2008-11-10,5.725400,5.835000,5.693000,5.710700,5.710700,0
2008-11-11,5.710400,5.720200,5.627900,5.658800,5.658800,0
2008-11-12,5.656200,5.685100,5.513800,5.546100,5.546100,0
2008-11-13,5.545400,5.560200,5.467700,5.504400,5.504400,0
2008-11-14,5.504400,5.618200,5.484700,5.565800,5.565800,0
2008-11-17,5.570500,5.616100,5.506800,5.585500,5.585500,0
2008-11-18,5.583300,5.601700,5.517400,5.549800,5.549800,0
2008-11-19,5.551000,5.558900,5.454000,5.474900,5.474900,0
2008-11-20,5.476300,5.476500,5.276400,5.300200,5.300200,0
2008-11-21,5.303100,5.346700,5.270500,5.346700,5.346700,0
2008-11-24,5.328000,5.554400,5.216400,5.508200,5.508200,0
2008-11-25,5.507500,5.614400,5.297900,5.550100,5.550100,0
2008-11-26,5.553900,5.599600,5.354300,5.508800,5.508800,0
2008-11-27,5.507700,5.564400,5.497000,5.518000,5.518000,0
2008-11-28,5.519100,5.530400,5.465800,5.499900,5.499900,0
2008-12-01,5.418400,5.569000,5.406800,5.522800,5.522800,0
2008-12-02,5.526100,5.540300,5.469500,5.496000,5.496000,0
2008-12-03,5.496300,5.503000,5.419900,5.452200,5.452200,0
2008-12-04,5.453200,5.475500,5.335700,5.414000,5.414000,0
2008-12-05,5.411800,5.420300,5.211300,5.367500,5.367500,0
2008-12-08,5.350600,5.509400,5.342000,5.487100,5.487100,0
2008-12-09,5.487100,5.513100,5.385100,5.452500,5.452500,0
2008-12-10,5.451800,5.480500,5.410300,5.453000,5.453000,0
2008-12-11,5.453000,5.609500,5.433100,5.511100,5.511100,0
2008-12-12,5.512800,5.541200,5.441700,5.469100,5.469100,0
2008-12-15,5.449200,5.588500,5.449200,5.519400,5.519400,0
2008-12-16,5.519400,5.605200,5.338200,5.567300,5.567300,0
2008-12-17,5.565800,5.712100,5.396800,5.698800,5.698800,0
2008-12-18,5.702100,5.740500,5.484200,5.643900,5.643900,0
2008-12-19,5.643400,5.702300,5.499000,5.581400,5.581400,0
2008-12-22,5.521100,5.697400,5.515900,5.604600,5.604600,0
2008-12-23,5.603000,5.649600,5.578000,5.616900,5.616900,0
2008-12-24,5.618300,5.651500,5.510100,5.510100,5.510100,0
2008-12-25,5.510100,5.605100,5.496200,5.600800,5.600800,0
2008-12-26,5.601200,5.603100,5.543800,5.568400,5.568400,0
2008-12-29,5.565700,5.722300,5.544500,5.682900,5.682900,0
2008-12-30,5.681900,5.688500,5.520000,5.576000,5.576000,0
2008-12-31,5.584000,5.603100,5.446900,5.476800,5.476800,0
2009-01-01,5.476800,5.627800,5.457700,5.457700,5.457700,0
